FROM_INCIDENT_ID	TO_INCIDENT_ID
670671	232851
232851	670671
195781	613126
613126	195781
613126	503859
503859	613126
219245	065972
065972	219245
525915	846852
846852	525915
846852	525915
525915	846852
467900	926932
403445	926932
467900	403445
926932	403445
403445	467900
467900	403445
926932	403445
926932	467900
403445	467900
403445	926932
467900	926932
926932	467900
197408	837887
197408	837887
837887	197408
837887	197408
828043	371972
371972	828043
108623	507015
507015	108623
108623	507015
507015	108623
729772	375907
375907	729772
729772	375907
375907	729772
742679	000335
000335	742679
228417	535273
535273	228417
535273	228417
228417	535273
345880	040627
345880	040627
040627	345880
040627	345880
855841	283471
283471	330432
283471	855841
330432	283471
283471	855841
330432	283471
855841	330432
855841	283471
855841	330432
283471	330432
330432	855841
330432	855841
570236	937866
937866	570236
570236	937866
937866	570236
858351	420359
420359	858351
420359	858351
858351	420359
700398	087651
960586	700398
700398	087651
960586	087651
700398	960586
960586	700398
960586	087651
700398	960586
436160	275421
275421	436160
980699	760260
980699	760260
760260	980699
760260	980699
559421	742745
742745	559421
559421	742745
742745	559421
134461	470623
415815	470623
296873	134461
470623	415815
470623	134461
470623	296873
296873	470623
296873	470623
470623	296873
296873	415815
415815	296873
134461	296873
607570	075651
607570	075651
075651	607570
075651	607570
369872	709581
369872	709581
709581	369872
709581	369872
811405	536664
536664	811405
536664	811405
811405	536664
024377	774662
771908	060117
774662	771908
024377	771908
060117	771908
771908	060117
774662	060117
024377	060117
060117	774662
060117	024377
060117	771908
774662	024377
774662	771908
774662	060117
771908	024377
060117	774662
417830	417890
417830	417890
126995	569650
659422	569650
222826	569650
367809	569650
367809	659422
569650	659422
126995	659422
222826	659422
569650	222826
367809	222826
126995	222826
659422	222826
659422	126995
367809	126995
569650	126995
659422	367809
126995	367809
367809	222826
367809	659422
367809	126995
367809	569650
569650	222826
569650	659422
569650	367809
569650	126995
659422	126995
659422	569650
659422	367809
659422	222826
222826	569650
222826	367809
222826	659422
126995	569650
126995	367809
126995	222826
126995	659422
222826	367809
569650	367809
624404	440489
010351	624404
010351	440489
010351	440489
624404	010351
440489	010351
440489	624404
010351	624404
624404	010351
624404	440489
440489	624404
440489	010351
772182	379345
379345	772182
379345	772182
772182	379345
304776	845852
304776	845852
921444	750713
750713	921444
478931	154029
478931	154029
154029	478931
154029	478931
782001	176648
307998	176648
307998	176648
307998	148901
176648	148901
782001	148901
307998	782001
176648	782001
148901	782001
782001	307998
148901	307998
176648	307998
176648	148901
176648	307998
176648	782001
148901	176648
148901	307998
148901	782001
782001	307998
782001	176648
782001	148901
307998	148901
307998	782001
148901	176648
989467	958631
786621	958631
786621	958631
958631	989467
786621	989467
014051	989467
958631	014051
989467	014051
786621	014051
014051	786621
989467	786621
958631	786621
989467	014051
989467	786621
989467	958631
958631	014051
958631	989467
958631	786621
014051	786621
014051	989467
014051	958631
786621	989467
786621	014051
014051	958631
952614	143684
952614	143684
556482	578896
556482	624978
677655	578896
677655	624978
556482	624978
578896	624978
624978	677655
578896	556482
624978	556482
556482	677655
578896	677655
677655	556482
578896	556482
578896	677655
578896	624978
624978	677655
624978	556482
624978	578896
677655	556482
677655	624978
677655	578896
556482	677655
556482	578896
624978	578896
067156	210321
067156	675234
067156	024753
067156	294292
675234	210321
675234	672186
675234	294292
675234	024753
675234	067156
675234	051596
672186	067156
672186	210321
672186	051596
672186	024753
672186	294292
672186	675234
294292	067156
294292	024753
294292	672186
294292	051596
294292	675234
294292	210321
024753	675234
024753	294292
024753	051596
024753	672186
024753	067156
024753	210321
051596	210321
672186	210321
675234	210321
067156	210321
024753	210321
294292	210321
672186	067156
294292	067156
210321	067156
051596	067156
024753	067156
675234	067156
024753	675234
051596	675234
067156	675234
210321	675234
294292	675234
672186	675234
051596	672186
210321	672186
294292	672186
675234	672186
067156	672186
024753	672186
024753	294292
675234	294292
051596	294292
672186	294292
067156	294292
210321	294292
294292	024753
672186	024753
051596	024753
675234	024753
067156	024753
210321	024753
024753	051596
672186	051596
294292	051596
067156	051596
210321	051596
675234	051596
051596	672186
051596	210321
051596	067156
051596	294292
051596	675234
051596	024753
210321	067156
210321	672186
210321	051596
210321	675234
210321	024753
210321	294292
067156	672186
067156	051596
899217	744865
196525	744865
196525	899217
196525	141797
196525	899217
899217	196525
141797	899217
141797	196525
899217	196525
744865	196525
899217	141797
744865	899217
829601	802015
802015	829601
551750	147526
551750	147526
147526	551750
147526	551750
949799	913542
913542	949799
611966	636720
611966	823519
407216	636720
407216	823519
814890	671335
779768	671335
671335	814890
671335	779768
671335	430724
652623	347167
652623	248368
584118	652623
347167	652623
248368	652623
652623	584118
578054	607990
578054	154562
578054	245561
578054	841456
245561	607990
245561	578054
245561	841456
245561	154562
154562	607990
154562	578054
154562	841456
154562	245561
841456	607990
841456	154562
841456	578054
841456	245561
607990	245561
607990	578054
607990	578054
154562	578054
245561	578054
841456	578054
607990	245561
578054	245561
154562	245561
841456	245561
578054	154562
607990	154562
841456	154562
245561	154562
607990	841456
154562	841456
245561	841456
578054	841456
841456	607990
154562	607990
578054	607990
245561	607990
607990	841456
607990	154562
090692	268025
735856	090692
090692	570745
090692	704473
090692	327358
704473	090692
704473	327358
704473	735856
704473	570745
704473	268025
327358	735856
327358	570745
327358	090692
327358	268025
327358	704473
268025	570745
268025	327358
268025	090692
268025	704473
268025	735856
735856	704473
735856	327358
735856	570745
090692	735856
735856	268025
570745	268025
570745	327358
704473	090692
268025	090692
090692	704473
735856	704473
268025	704473
570745	704473
327358	704473
268025	327358
704473	327358
090692	327358
570745	327358
735856	327358
090692	268025
735856	268025
327358	268025
570745	268025
704473	268025
268025	570745
327358	570745
090692	570745
704473	570745
735856	570745
327358	735856
090692	735856
570745	735856
704473	735856
268025	735856
735856	090692
327358	090692
570745	090692
570745	735856
570745	704473
570745	090692
447544	024726
024726	447544
447544	024726
024726	447544
806489	240944
240944	806489
597386	951352
597386	951352
951352	597386
951352	597386
774336	638475
774336	638475
109411	169679
940311	169679
940311	109411
109411	169679
940311	169679
940311	109411
687713	724061
724061	687713
868155	215009
358727	085977
358727	085977
085977	358727
085977	358727
437333	080903
548683	080903
548683	908317
024310	080903
908317	080903
908317	024310
080903	024310
548683	024310
437333	024310
548683	437333
437333	437333
080903	437333
908317	437333
080903	908317
548683	908317
437333	548683
080903	548683
908317	548683
080903	548683
080903	437333
080903	024310
080903	908317
024310	080903
437333	548683
437333	080903
437333	024310
908317	024310
908317	437333
908317	080903
908317	548683
548683	437333
548683	080903
548683	024310
673171	849267
849267	673171
860378	426304
860378	111390
860378	758283
354902	860378
354902	758283
354902	111390
354902	426304
426304	758283
426304	111390
426304	354902
426304	860378
426304	111390
758283	111390
354902	111390
860378	111390
426304	758283
354902	758283
111390	758283
860378	758283
354902	860378
111390	860378
758283	860378
426304	860378
111390	354902
860378	354902
426304	354902
758283	354902
758283	426304
111390	426304
860378	426304
354902	426304
111390	354902
111390	426304
111390	758283
111390	860378
758283	426304
758283	111390
758283	860378
758283	354902
860378	354902
949928	106722
041392	106722
655878	101770
655878	101770
101770	655878
101770	655878
081618	093747
081618	093747
081618	456592
456592	093747
456592	081618
456592	093747
093747	456592
093747	081618
456592	081618
093747	456592
081618	456592
093747	081618
146325	713458
228402	713458
228402	146325
736703	146325
736703	713458
736703	228402
993441	713458
993441	228402
993441	146325
993441	736703
152352	197985
842730	197985
842730	152352
152352	197985
842730	197985
993441	736703
736703	228402
993441	228402
228402	146325
993441	146325
736703	146325
228402	713458
146325	713458
736703	713458
993441	713458
842730	152352
115180	004437
115180	004437
357588	302934
281056	394850
281056	809952
809952	281056
302934	281056
394850	281056
357588	281056
394850	357588
281056	357588
809952	357588
302934	357588
281056	302934
357588	281056
357588	394850
281056	357588
302934	357588
302934	809952
302934	394850
302934	281056
357588	302934
809952	302934
281056	302934
394850	302934
049733	510147
510147	049733
049733	510147
510147	049733
937162	714463
714463	937162
937162	714463
714463	937162
513817	000881
773131	000881
773131	513817
000881	513817
000881	513817
000881	773131
513817	000881
513817	773131
834739	596968
596968	834739
834739	596968
596968	834739
685305	959707
959707	685305
959707	685305
685305	959707
946793	383480
383480	946793
493496	036105
660037	036105
661784	036105
690557	036105
661784	690557
660037	690557
036105	690557
660037	690557
036105	660037
036105	493496
036105	690557
036105	661784
690557	660037
690557	661784
690557	493496
690557	036105
493496	661784
660037	661784
690557	661784
036105	661784
493496	660037
661784	660037
690557	660037
036105	660037
661784	036105
661784	660037
661784	690557
661784	493496
660037	036105
660037	493496
660037	661784
366121	838143
490405	838143
838143	490405
838143	366121
885737	966084
925548	329196
600989	329196
600989	329196
925548	329196
600989	925548
600989	925548
955534	934125
934125	955534
031366	314108
314108	031366
392666	474638
474638	392666
224031	999846
224031	249490
224031	343884
898074	037547
037547	898074
481016	681309
681309	481016
019447	548974
548974	019447
692788	019447
019447	692788
548974	692788
692788	548974
548974	692788
019447	692788
019447	548974
692788	548974
692788	019447
548974	019447
641460	694215
694215	641460
694215	213083
213083	694215
213083	641460
641460	213083
213083	641460
213083	694215
641460	694215
641460	213083
694215	213083
694215	641460
502708	857637
511527	857637
857637	502708
511527	502708
511527	857637
857637	511527
857637	502708
502708	857637
511527	502708
857637	511527
078386	553629
324736	553629
324736	078386
553629	078386
078386	324736
324736	553629
553629	324736
553629	078386
078386	324736
078386	553629
324736	078386
553629	324736
689217	912980
023221	101606
689217	101606
912980	101606
912980	101606
101606	023221
912980	023221
023221	912980
101606	912980
101606	912980
689217	101606
689217	912980
023221	101606
023221	912980
689217	023221
912980	023221
101606	023221
689217	023221
247982	320742
320742	247982
188590	650257
514633	963930
514633	743805
963930	743805
444274	743805
963930	444274
963930	743805
514633	444274
514633	743805
963930	444274
514633	963930
444274	743805
514633	444274
479222	697706
378606	697706
986957	334369
334369	697706
